id;title;decision;role;format;objectif;representation_mentale;motif
R-B3-010;Préparer, transmettre et contrôler une DSN;conserver;aucun ajout v3.6;texte-regle;Après clôture de la paie mensuelle ou lors d’un événement nécessitant un signalement, notamment arrêt de travail ou fin de contrat.;Une DSN transmise dans le délai, avec preuve de dépôt, comptes rendus contrôlés, anomalies traitées et corrections tracées.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B3-011;Organiser les élections du CSE sous la responsabilité de la direction;visuel ajouté v3.6;complement;timeline;Se représenter l’élection du CSE comme un rétroplanning à sécuriser juridiquement.;vérifier obligation/échéance → rétroplanning → listes/communications → protocole → scrutin → PV/formalités;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B3-012;Communiquer une information sociale en respectant la confidentialité;conserver;aucun ajout v3.6;texte-structure;Demande d’un manager, d’un salarié, d’un organisme, du comptable ou d’un prestataire portant sur une information RH.;Une réponse utile, exacte, adressée au bon destinataire, avec uniquement les données nécessaires et une trace de la transmission.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B3-013;Formaliser un besoin de recrutement et construire une fiche de poste;conserver;aucun ajout v3.6;texte-structure;Création de poste, remplacement, évolution d’activité ou besoin de compétence identifié par la direction.;Une fiche de poste et un profil de recrutement distinguant missions, activités, responsabilités, relations, contraintes, compétences nécessaires et critères de sélection.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B3-014;Rédiger et publier une offre d’emploi non discriminatoire;conserver;aucun ajout v3.6;texte-gabarit;Avant publication sur France Travail, un site d’emploi, le site de la PME, un réseau social ou un support professionnel.;Une annonce comprenant les missions, compétences, conditions essentielles et modalités de candidature, sans critère discriminatoire ni promesse non validée.;"La représentation utile est surtout la forme du livrable ; les gabarits et exemples de production existants apportent plus qu’un schéma supplémentaire."
R-B3-015;Présélectionner des candidatures avec une grille objective;conserver;aucun ajout v3.6;texte-structure;Après clôture ou pendant une campagne de recrutement, à partir d’une fiche de poste validée.;Une grille multicritère documentée, un classement argumenté et une traçabilité des décisions sans données ou commentaires discriminatoires.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B3-016;Préparer un entretien de recrutement structuré et comparable;surveiller;aucun ajout v3.6;processus;Avant les entretiens de recrutement, à partir des critères de la fiche de poste et de la présélection.;Un guide d’entretien avec questions communes, relances, critères d’évaluation, prise de notes et synthèse finale.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-017;Organiser l’intégration d’un nouveau salarié;visuel ajouté v3.6;central;parcours;Voir l’intégration comme un parcours dans le temps et non une journée d’accueil isolée.;avant arrivée → jour J → première semaine → premiers points → ajustement;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B3-018;Recenser les besoins en compétences et en formation;conserver;aucun ajout v3.6;texte-structure;Préparation du plan de développement des compétences, évolution d’un outil, changement réglementaire, dysfonctionnement récurrent ou remontées des salariés/managers.;Une matrice besoins-compétences priorisée indiquant écart observé, population concernée, résultat attendu, urgence, solution possible et mode d’évaluation.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B3-019;Comparer des formations et préparer leur financement;surveiller;aucun ajout v3.6;calcul-tableau;Choix d’un organisme, d’une modalité de formation ou préparation d’une demande de prise en charge.;Un tableau comparatif indiquant objectif, programme, durée, modalité, qualité, coût pédagogique, temps mobilisé, frais annexes, financement potentiel et critères de réussite.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-B3-020;Planifier et suivre une action de formation jusqu’à son évaluation;surveiller;aucun ajout v3.6;processus;Formation interne ou externe, présentielle, à distance ou en situation de travail.;Un dossier de formation complet : convocation, planning, financement, preuve de réalisation, évaluation à chaud et contrôle du transfert en situation de travail.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-021;Préparer un entretien annuel d’évaluation avec des critères professionnels;surveiller;aucun ajout v3.6;processus;Cycle annuel ou périodique d’évaluation du travail, hors entretien de parcours professionnel.;Une grille préparée avec objectifs, résultats, compétences, faits observables, difficultés, besoins d’appui et propositions, prête à être utilisée par le responsable.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-022;Préparer l’entretien de parcours professionnel (EPP) selon les règles 2026;surveiller;aucun ajout v3.6;processus;Première année après embauche, cycle périodique, retour de certains congés ou situations particulières, ou préparation de l’état des lieux du parcours.;Un calendrier EPP à jour, une trame d’entretien, un document de synthèse remis au salarié et un suivi des actions décidées.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-023;Construire un tableau de bord social simple et utile au dirigeant;visuel ajouté v3.6;complement;dashboard;Se représenter un tableau de bord social comme peu d’indicateurs reliés à une question de pilotage.;question → indicateurs → cible/évolution → alerte → action;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B3-024;Analyser des indicateurs sociaux et préparer des propositions;surveiller;aucun ajout v3.6;processus;Hausse d’absentéisme, turnover, difficulté de recrutement, faible participation aux formations ou autre signal social.;Une note courte : constat chiffré, vérifications, hypothèses, informations complémentaires, risques et propositions à soumettre à la direction.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-025;Repérer une tension relationnelle et préparer un entretien de régulation;surveiller;aucun ajout v3.6;processus;Signaux de conflit, échanges dégradés, coordination difficile, plaintes croisées ou risque de rupture de coopération.;Une fiche de situation factuelle, les parties et enjeux identifiés, un objectif d’entretien, des questions de clarification et des options de régulation à soumettre au dirigeant.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-026;Organiser un travail collaboratif avec des règles simples et vérifiables;surveiller;aucun ajout v3.6;processus;Mise en place d’un espace partagé, traitement collectif d’un dossier, projet transversal ou amélioration de la circulation d’information.;Une procédure collaborative légère : espace, arborescence, rôles, règles de nommage, droits, version, délais, validation, réunions et suivi des actions.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-027;Préparer une réunion de représentation du personnel ou de dialogue social;surveiller;aucun ajout v3.6;processus;Réunion du CSE, échange préparatoire à une négociation, consultation ou suivi d’un sujet social nécessitant des informations fiables.;Un dossier de réunion structuré : objet, participants, calendrier, documents, points à traiter, questions en attente et traçabilité des suites.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-028;Calculer et comparer le coût prévisionnel d’un recrutement ou d’une formation;surveiller;aucun ajout v3.6;calcul-tableau;Comparaison de canaux de recrutement, prestataires, actions de formation ou scénarios d’organisation.;Un tableau chiffré avec hypothèses, coûts directs, temps internes valorisés si demandé, aides/prises en charge identifiées séparément et coût net prévisionnel.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-B4-001;Caractériser le système d’information d’une PME;visuel ajouté v3.6;central;carte-systeme;Comprendre un système d’information comme un ensemble d’acteurs, données, outils, règles et flux.;acteurs ↔ données ↔ outils ↔ règles/processus ↔ décisions;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-002;Cartographier un flux d’information ou un processus;visuel ajouté v3.6;central;flux;Se représenter un processus comme un flux entre acteurs avec entrées, transformations, contrôles et sorties.;entrée → acteur/action → donnée/outil → contrôle/décision → sortie;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-003;Définir un besoin d’information et contrôler les données collectées;surveiller;aucun ajout v3.6;processus;Préparation d’une analyse, d’un reporting, d’une enquête ou d’un tableau de bord nécessitant plusieurs sources d’information.;Une fiche de besoin d’information précisant usage, données nécessaires, source, responsable, fréquence, contrôle et format attendu.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-004;Structurer des données et fiabiliser leur saisie;conserver;aucun ajout v3.6;texte-structure;Fichier clients/fournisseurs, suivi d’interventions, inscriptions, enquêtes ou extractions à préparer pour analyse.;Un jeu de données structuré avec champs définis, règles de saisie, contrôles, identifiant stable et procédure de correction.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-005;Construire un plan de classement et d’archivage des documents;conserver;aucun ajout v3.6;texte-structure;Réorganisation d’un dossier partagé ou d’une GED, création d’un plan d’archivage, traitement de documents dispersés ou mal nommés.;Un plan de classement avec règles de nommage, droits, version, statut, durée de conservation, sort final et responsable.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-006;Diagnostiquer une anomalie du SI et préparer une demande à l’ESN;surveiller;aucun ajout v3.6;processus;Erreur récurrente, donnée inaccessible, lenteur, problème de droits, synchronisation ou évolution fonctionnelle demandée par les utilisateurs.;Un ticket ou cahier de besoin structuré : contexte, utilisateurs concernés, résultat attendu, anomalie reproduite, preuves, urgence et contraintes.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-007;Analyser et améliorer un processus support;visuel ajouté v3.6;central;avant-apres;Comprendre l’amélioration d’un processus comme la réduction d’un écart démontré.;processus actuel → point de rupture → cause → processus cible → indicateur de contrôle;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-008;Organiser et suivre le travail administratif;surveiller;aucun ajout v3.6;processus;Période chargée, dossiers parallèles, absences, nouvelle organisation ou manque de visibilité sur les échéances.;Un dispositif simple de pilotage : tâches, priorité, responsable, échéance, charge estimée, statut, dépendances et points de contrôle.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-009;Planifier des activités, interventions ou prestations;visuel ajouté v3.6;central;gantt;Voir une planification comme des tâches distribuées dans le temps avec contraintes et marges.;liste des tâches → contraintes → ordre → créneaux → contrôle des conflits;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-010;Gérer les priorités, la charge et un agenda partagé;visuel ajouté v3.6;complement;matrice-priorites;Distinguer priorité, urgence et charge avant de remplir l’agenda.;importance × urgence + durée/contraintes → arbitrage → agenda réaliste;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-011;Organiser un déplacement professionnel de bout en bout;surveiller;aucun ajout v3.6;processus;Rendez-vous client, salon, formation, réunion externe ou déplacement multi-étapes en France ou à l’étranger.;Un dossier de déplacement avec itinéraire, réservations, budget, contacts, documents, contraintes, alternatives et éléments de remboursement.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-012;Organiser un événement interne ou une participation à un salon;surveiller;aucun ajout v3.6;processus;Séminaire interne, inauguration, journée clients, salon professionnel, portes ouvertes ou participation à un événement externe.;Un plan d’organisation : objectifs, public, budget, rétroplanning, rôles, prestataires, logistique, communication, risques et bilan.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-013;Sélectionner et coordonner des prestataires pour une activité;conserver;aucun ajout v3.6;texte-structure;Organisation d’un déplacement, événement, salon ou prestation support nécessitant plusieurs offres.;Une comparaison argumentée, une commande ou confirmation conforme, les contacts utiles et un suivi des engagements du prestataire.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-014;Mettre en place une veille commerciale orientée décision;surveiller;aucun ajout v3.6;processus;Projet de développement commercial, lancement d’offre, évolution de la demande ou suivi régulier d’un marché.;Un dispositif de veille avec questions, sources, fréquence, critères de qualification, synthèse et signaux déclenchant une alerte.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-015;Analyser un marché et distinguer une tendance d’un signal isolé;surveiller;aucun ajout v3.6;processus;Étude d’un segment, évolution de la demande, concurrence, prix, comportements clients ou opportunité de diversification.;Un diagnostic de marché sourcé : taille/évolution, segments, clients, concurrence, facteurs d’évolution, opportunités, menaces et limites des données.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-016;Construire et exploiter une enquête de satisfaction client;conserver;aucun ajout v3.6;texte-structure;Bilan qualité client, action de fidélisation, évolution d’une offre ou analyse d’un point de contact.;Un questionnaire ciblé, un plan de diffusion, un fichier exploitable, des résultats synthétiques et des pistes d’action.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-017;Transformer une analyse de marché en proposition de développement commercial;conserver;aucun ajout v3.6;texte-structure;Nouveau segment, nouveau canal, extension géographique, adaptation de l’offre ou action commerciale ciblée.;Une recommandation structurée : opportunité, cible, proposition de valeur, actions, ressources, risques, indicateurs et scénario de test.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-018;Concevoir, suivre et évaluer une action de fidélisation;surveiller;aucun ajout v3.6;processus;Clients inactifs, baisse de réachat, satisfaction à consolider, lancement d’un service relationnel ou animation d’un portefeuille.;Une action de fidélisation ciblée avec population, objectif, message/offre, calendrier, budget, indicateurs et bilan.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-019;Préparer le cahier des charges d’une action de communication;surveiller;aucun ajout v3.6;processus;Création d’un support, campagne, refonte d’une page, événement, dossier de presse ou action commerciale.;Un brief ou cahier des charges avec contexte, objectif, cible, message, livrables, canaux, contraintes, budget, planning, validation et indicateurs.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-020;Concevoir un support de communication institutionnelle;conserver;aucun ajout v3.6;texte-gabarit;Présentation entreprise, dossier de partenariat, communiqué, dossier de presse, page institutionnelle ou support événementiel.;Un support professionnel adapté au destinataire, hiérarchisé, sourcé, cohérent avec l’identité et prêt à validation.;"La représentation utile est surtout la forme du livrable ; les gabarits et exemples de production existants apportent plus qu’un schéma supplémentaire."
R-B4-021;Concevoir une action de communication commerciale cohérente;conserver;aucun ajout v3.6;texte-structure;Lancement d’offre, promotion, campagne de prospection, invitation commerciale ou animation d’un segment client.;Un plan d’action de communication commerciale avec cible, message, preuve, canal, budget, calendrier, responsable et indicateurs.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-022;Suivre l’identité numérique et l’e-réputation de la PME;surveiller;aucun ajout v3.6;processus;Suivi de réseaux sociaux, avis clients, résultats de recherche, mentions de la marque, profils d’établissement ou incident d’image.;Un tableau de suivi des présences et mentions avec source, date, portée, tonalité, risque/opportunité, action et responsable.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-023;Contrôler la cohérence d’un support avec l’image et la charte de la PME;surveiller;aucun ajout v3.6;processus;Affiche, présentation, publication sociale, courriel de campagne, brochure, page web ou document prestataire.;Une grille de contrôle avec écarts repérés, corrections demandées, validation et version finale identifiée.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-024;Mesurer l’efficacité d’une action de communication;conserver;aucun ajout v3.6;texte-structure;Après une campagne, un événement, une publication, une action presse ou commerciale.;Un bilan reliant objectifs, indicateurs, résultats, coûts, écarts, enseignements et recommandations.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-025;Calculer et analyser un coût complet avec la méthode fournie;visuel ajouté v3.6;complement;empilement;Se représenter le coût complet comme l’addition progressive des charges affectées au bon objet de coût.;charges directes + charges indirectes réparties → coût complet → comparaison;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-026;Calculer une marge sur coût variable ou un coût partiel;visuel ajouté v3.6;complement;formule;Voir la logique économique entre chiffre d’affaires, charges variables, marge et charges fixes.;"CA − charges variables = MCV ; MCV couvre charges fixes puis résultat";Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-027;Calculer et interpréter un seuil de rentabilité;visuel ajouté v3.6;central;graphique;Comprendre le seuil de rentabilité comme un point d’équilibre entre revenus et coûts.;activité augmente → CA et coûts évoluent → intersection = seuil → avant/après;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-028;Construire un budget prévisionnel exploitable;visuel ajouté v3.6;complement;processus;Se représenter un budget comme la traduction chiffrée d’hypothèses cohérentes dans le temps.;hypothèses → volumes/prix → charges → périodes → contrôle cohérence → scénarios;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-029;Analyser les écarts et simuler l’impact d’une décision de gestion;visuel ajouté v3.6;central;pont;Comprendre un écart comme la différence entre une référence et un réalisé, puis remonter à ses facteurs.;prévu → écart mesuré → facteurs volume/prix/coût/temps → conséquence → décision;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-030;Construire un bilan fonctionnel à partir des données fournies;visuel ajouté v3.6;complement;structure;Se représenter le bilan fonctionnel comme des emplois et ressources regroupés par fonction.;emplois stables / actif circulant / trésorerie ↔ ressources stables / passif circulant / trésorerie;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-031;Calculer et interpréter FRNG, BFR et trésorerie nette;visuel ajouté v3.6;central;equilibre;Comprendre la relation structurelle entre FRNG, BFR et trésorerie nette.;"ressources durables → FRNG ; cycle exploitation → BFR ; différence → TN";Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-032;Calculer et interpréter des ratios financiers pertinents;surveiller;aucun ajout v3.6;calcul-tableau;Comparaison dans le temps, avec un secteur ou entre hypothèses, en complément des équilibres financiers.;Un tableau de ratios avec formule, valeur, comparaison, évolution et commentaire centré sur les facteurs explicatifs.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-B4-033;Comparer des modes de financement d’un investissement;visuel ajouté v3.6;complement;comparaison;Comparer les financements comme des combinaisons de coût, trésorerie, risque, durée et contraintes.;besoin → critères → options comparables → impacts → recommandation;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-034;Construire un plan de financement et mesurer l’impact d’une décision;surveiller;aucun ajout v3.6;calcul-tableau;Investissement, croissance, renouvellement d’équipement ou autre décision nécessitant emplois et ressources durables.;Un plan de financement équilibré, avec besoins, ressources, solde, hypothèses et commentaire sur les marges de sécurité.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-B4-035;Choisir des indicateurs de gestion et des seuils d’alerte;conserver;aucun ajout v3.6;texte-structure;Création ou refonte d’un tableau de bord commercial, financier ou mixte.;Une fiche par indicateur : question de pilotage, définition, formule, source, fréquence, responsable, objectif/seuil et action en cas d’écart.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-036;Construire un tableau de bord commercial et financier lisible;visuel ajouté v3.6;central;dashboard;Se représenter un tableau de bord comme une réponse visuelle à quelques questions de pilotage.;question → KPI → cible → tendance → alerte → action;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-037;Analyser un tableau de bord et préparer une alerte au dirigeant;surveiller;aucun ajout v3.6;processus;Revue périodique du tableau de bord, dérive commerciale, financière ou opérationnelle.;Une note ou synthèse courte : faits, ampleur, tendance, facteurs explicatifs, conséquences possibles, urgence et options.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B4-038;Résoudre un problème administratif sans traiter seulement le symptôme;visuel ajouté v3.6;central;resolution;Comprendre qu’on résout un problème en remontant du symptôme à une cause vérifiée puis en contrôlant l’action.;écart → processus réel → causes possibles → preuves → cause → action → contrôle;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B4-039;Décliner la stratégie de communication en plan d’actions opérationnel;conserver;aucun ajout v3.6;texte-structure;Lancement d’une offre, événement, communication institutionnelle, campagne locale, développement de la visibilité ou coordination de plusieurs canaux.;Un plan d’actions précisant objectif, cible, message, canal, support, responsable, calendrier, budget, validation et indicateur.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B4-040;Simuler l’impact d’une décision de gestion sur les coûts, le résultat et les équilibres financiers;surveiller;aucun ajout v3.6;calcul-tableau;Investissement, hausse de volume, embauche, changement de prix, nouveau contrat, modification de charges ou autre décision fournie par la direction.;Un tableau de scénarios montrant hypothèses, variation des coûts/produits, résultat, trésorerie ou équilibres financiers concernés et limites du calcul.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-TR-001;Analyser une situation de communication avant de répondre;surveiller;aucun ajout v3.6;processus;Dès qu’il faut choisir un ton, un argument, un canal ou une posture selon un interlocuteur et un objectif professionnel.;Une préparation courte identifiant acteurs, objectif, enjeux, contraintes, informations disponibles, canal et stratégie de réponse.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-TR-002;Rédiger un courriel professionnel qui permet d’agir;conserver;aucun ajout v3.6;texte-gabarit;Courriel à un client, fournisseur, salarié, prestataire, administration ou responsable.;Un message court avec objet utile, contexte suffisant, demande explicite, échéance, pièces identifiées et ton adapté.;"La représentation utile est surtout la forme du livrable ; les gabarits et exemples de production existants apportent plus qu’un schéma supplémentaire."
R-TR-003;Rédiger une note professionnelle pour aider le dirigeant à décider;conserver;aucun ajout v3.6;texte-gabarit;Alerte, comparaison, diagnostic, risque, choix fournisseur, décision RH, analyse commerciale ou financière.;Une note courte distinguant objet, faits essentiels, analyse, options, recommandation argumentée et décision attendue.;"La représentation utile est surtout la forme du livrable ; les gabarits et exemples de production existants apportent plus qu’un schéma supplémentaire."
R-TR-004;Produire un compte rendu de réunion ou d’entretien qui permet le suivi;conserver;aucun ajout v3.6;texte-gabarit;Réunion projet, entretien fournisseur, réunion interne, point RH, échange avec un prestataire ou entretien de suivi.;Un compte rendu fidèle avec décisions, actions, responsables, dates, points en attente et documents de référence.;"La représentation utile est surtout la forme du livrable ; les gabarits et exemples de production existants apportent plus qu’un schéma supplémentaire."
R-TR-005;Concevoir un formulaire ou document structuré qui produit des données exploitables;conserver;aucun ajout v3.6;texte-structure;Fiche de réclamation, demande d’achat, formulaire d’absence, relevé d’incident, fiche d’évaluation, inscription ou collecte interne.;Un document avec champs utiles, formats contrôlables, instructions courtes, identifiants et circuit de validation.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-TR-006;Choisir le bon canal de communication numérique et maîtriser la trace laissée;conserver;aucun ajout v3.6;texte-structure;Lorsque plusieurs canaux sont possibles ou que l’information est sensible, durable, urgente ou destinée à plusieurs acteurs.;Un choix de canal justifié avec destinataires, niveau de confidentialité, besoin de trace, règles de partage et archivage.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-TR-007;Préparer et conduire un entretien professionnel court;surveiller;aucun ajout v3.6;processus;Entretien avec un client, fournisseur, salarié, prestataire ou responsable, hors situations nécessitant une expertise spécifique.;Un entretien cadré avec objectif, questions préparées, reformulation, conclusion et traces utiles.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-TR-008;Préparer et animer une réunion qui aboutit à des décisions et des actions;surveiller;aucun ajout v3.6;processus;Réunion projet, qualité, organisation, fournisseurs, RH ou suivi d’actions.;Une réunion avec objectif, ordre du jour minuté, documents utiles, décisions tracées et actions attribuées.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-TR-009;Repérer une tension et préparer une intervention sans se substituer au décideur;surveiller;aucun ajout v3.6;processus;Tension entre collègues, désaccord récurrent, conflit avec un interlocuteur ou situation relationnelle qui dégrade la coordination.;Une fiche factuelle distinguant événements, impacts, acteurs, tentatives déjà réalisées, points à vérifier et options de traitement.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-TR-010;Préparer un dialogue ou une négociation dans le cadre fixé par la direction;surveiller;aucun ajout v3.6;processus;Négociation fournisseur, échange social, discussion avec un prestataire ou autre situation où les intérêts ne sont pas totalement identiques.;Une fiche de préparation avec objectif, intérêts, critères, informations, solution idéale, minimum acceptable, points non négociables et zones à valider.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-TR-011;Construire un tableau de données fiable avant de calculer ou filtrer;visuel ajouté v3.6;complement;structure-tableau;Se représenter un tableau fiable comme une structure régulière : une ligne = une unité, une colonne = une donnée.;"unité d’observation → lignes ; variables → colonnes ; formats homogènes → contrôle";Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-TR-012;Extraire, nettoyer et contrôler des données du PGI avant analyse;surveiller;aucun ajout v3.6;processus;Balance, commandes, clients, fournisseurs, salariés, stocks, écritures, ventes ou toute extraction autorisée.;Un fichier de travail daté avec source, périmètre, contrôles, transformations documentées et nombre d’enregistrements cohérent.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-TR-013;Choisir entre filtre, recherche, validation et tableau croisé dynamique dans le tableur;conserver;aucun ajout v3.6;texte-structure;Analyse clients/fournisseurs, risques, RH, coûts, ventes, stocks ou indicateurs.;Un traitement reproductible avec l’outil le plus simple répondant à la question, sans programmation inutile.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
